"","Cls","Atr","Num","Nom","Spl","Dim","NumRate","NomRate","SymMin","SymMax","SymMean","SymSd","SymSum","ClMin","ClMax","ClMean","ClSd","Sks","SksP","Kts","KtsP","AbsC","CanC","Fnd","ClEnt","NClEnt","AtrEnt","NAtrEnt","JEnt","MutInf","EAttr","NoiSig","Nb","Lda","Nn","Nlbst","NSlbst","Mfreq","LCard","LDen","Mir","Scl","Lfq","IRLbl","LScl"
"amazed-suprised",2,72,72,0,391,0.184143222506394,1,0,2,2,2,0,2,0.304347826086957,0.695652173913043,0.5,0.276693957855606,1.22683002570459,1.22683002570459,6.9236802146238,6.9236802146238,0.226603622322141,0.655506298542335,1,0.614503320310728,0.88654089282209,1.3423998346746,0.448104073426443,0.614503320310729,0.0437577187605477,14.0433125335768,29.6780123072805,0.769820971867008,0.849104859335038,0.726342710997442,26,4,58,1.81329923273657,0.302216538789429,1.48672706899794,0.0128692502042693,0.304347826086957,1.41176470588235,0.00241774083710974
"happy-pleased",2,72,72,0,391,0.184143222506394,1,0,2,2,2,0,2,0.273657289002558,0.726342710997442,0.5,0.320096931636877,1.17798794512937,1.17798794512937,6.96146880868281,6.96146880868281,0.234639156863002,0.535878354092947,1,0.586862626672817,0.846663801183944,1.3423998346746,0.448104073426443,0.586862626672818,0.0135008124702572,43.4686896041033,98.431040734175,0.710997442455243,0.800511508951407,0.70843989769821,26,4,58,1.81329923273657,0.302216538789429,1.48672706899794,0.0128692502042693,0.273657289002558,1.57009345794393,0.014018922747248
"relaxing-calm",2,72,72,0,391,0.184143222506394,1,0,2,2,2,0,2,0.429667519181586,0.570332480818414,0.5,0.0994651482487471,1.19001513127605,1.19001513127605,6.56215324343835,6.56215324343835,0.220685176396152,0.724921361981766,1,0.683220977951213,0.985679516721523,1.3423998346746,0.448104073426443,0.683220977951213,0.0552510374172469,12.3657583619949,23.2963733791461,0.797953964194373,0.869565217391304,0.780051150895141,26,4,58,1.81329923273657,0.302216538789429,1.48672706899794,0.0128692502042693,0.429667519181586,1,0.0284349467572516
"quiet-still",2,72,72,0,391,0.184143222506394,1,0,2,2,2,0,2,0.227621483375959,0.772378516624041,0.5,0.385201392308784,1.13309106968531,1.13309106968531,6.43471473633776,6.43471473633776,0.21399487867577,0.807737527321145,1,0.536386342201808,0.77384191589512,1.3423998346746,0.448104073426443,0.536386342201808,0.0592654243191634,9.05057794428662,21.6506407419838,0.864450127877238,0.943734015345269,0.849104859335038,26,4,58,1.81329923273657,0.302216538789429,1.48672706899794,0.0128692502042693,0.227621483375959,1.8876404494382,0.0302090476214897
"sad-lonely",2,72,72,0,391,0.184143222506394,1,0,2,2,2,0,2,0.242966751918159,0.757033248081841,0.5,0.363499905418149,1.25279611068841,1.25279611068841,7.10990882474638,7.10990882474638,0.222594900626815,0.65212192381634,1,0.554475582537864,0.799939173221396,1.3423998346746,0.448104073426443,0.554475582537864,0.0286795067723586,19.3335117977785,45.806935883863,0.721227621483376,0.882352941176471,0.746803069053708,26,4,58,1.81329923273657,0.302216538789429,1.48672706899794,0.0128692502042693,0.242966751918159,1.76842105263158,0.0249603092612351
"angry-aggresive",2,72,72,0,391,0.184143222506394,1,0,2,2,2,0,2,0.335038363171355,0.664961636828645,0.5,0.233290984074334,1.13242423987275,1.13242423987275,6.68560293270707,6.68560293270706,0.229473372469486,0.682949506943717,1,0.637689469439616,0.919991435187648,1.3423998346746,0.448104073426443,0.637689469439615,0.0428306621037658,14.8886203975714,30.3420285547389,0.767263427109974,0.849104859335038,0.764705882352941,26,4,58,1.81329923273657,0.302216538789429,1.48672706899794,0.0128692502042693,0.335038363171355,1.2824427480916,0.00218336841503303
