"","Cls","Atr","Num","Nom","Spl","Dim","NumRate","NomRate","SymMin","SymMax","SymMean","SymSd","SymSum","ClMin","ClMax","ClMean","ClSd","Sks","SksP","Kts","KtsP","AbsC","CanC","Fnd","ClEnt","NClEnt","AtrEnt","NAtrEnt","JEnt","MutInf","EAttr","NoiSig","Nb","Lda","Nn","auc","accuracy"
"flowers",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0597777777777778,0.940222222222222,0.5,0.622568237124689,0,9.13872036560439,3,104.704137143968,0.0207910163617484,0.56400030363255,1,0.226355631911858,0.326562147636525,0.0812780357765567,0.117259419148034,0.307075626130975,0.000558041557438846,405.625045114428,144.64871503403,0.203333333333333,0.950888888888889,0.910222222222222,"RF","SVM"
"meadow",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00333333333333333,0.996666666666667,0.5,0.702392735978637,0,5.88994029109432,3,49.0878003278286,0.0202207743424319,0.344364839565875,1,0.0223403798434845,0.0322303552117708,0.0812780357765567,0.117259419148034,0.103528052585552,9.03630344886622e-05,247.229190231405,898.461115227982,0.00333333333333333,0.997111111111111,0.995111111111111,"SVM","SVM"
"rocks",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0506666666666667,0.949333333333333,0.5,0.635453294026311,0,8.57170187442572,3,86.4141680939603,0.0215725412391644,0.386783896668806,1,0.20047354387045,0.289222187571334,0.0812780357765567,0.117259419148034,0.281492413645111,0.000259166001895268,773.533343125244,312.613804211103,0.0506666666666667,0.949111111111111,0.884,"RF","SVM"
"hillside",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00466666666666667,0.995333333333333,0.5,0.700507117895473,0,6.12147752312889,3,50.7976877865758,0.0207159648439448,0.352724687667769,1,0.0297032085773701,0.0428526717130623,0.0812780357765567,0.117259419148034,0.110867732193819,0.000113512160107299,261.674243088078,715.029328485404,0.00466666666666667,0.997777777777778,0.993333333333333,"SVM","SVM"
"close-up",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0248888888888889,0.975111111111111,0.5,0.671908576967484,0,8.17350204105795,3,76.7603859178471,0.0229210067385546,0.399869484162787,1,0.116499533121337,0.168073298700032,0.0812780357765567,0.117259419148034,0.19758930191786,0.000188266980033175,618.799606286816,430.716893542535,0.0248888888888889,0.974888888888889,0.935777777777778,"SVM","SVM"
"grizzly",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00666666666666667,0.993333333333333,0.5,0.697678690770727,0,6.56228794641899,3,54.571289408118,0.0213438291210352,0.360700130036579,1,0.0400486301904337,0.0577779601701347,0.0812780357765567,0.117259419148034,0.12119864723529,0.000128018731700638,312.834142772827,633.891743550615,0.00666666666666667,0.992,0.989777777777778,"SVM","SVM"
"cubs",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00333333333333333,0.996666666666667,0.5,0.702392735978637,0,5.87091321567359,3,48.9430221258445,0.0185556634776866,0.295106914392818,1,0.0223403798434845,0.0322303552117708,0.0812780357765567,0.117259419148034,0.1035380771795,8.03384405407227e-05,278.078335764563,1010.69546271386,0.00333333333333333,0.996222222222222,0.982666666666667,"SVM","SVM"
"log",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.004,0.996,0.5,0.701449926937055,0,6.03083022705145,3,50.1109206029021,0.0207726733002352,0.335942964746952,1,0.0260778329833986,0.0376223603222798,0.0812780357765567,0.117259419148034,0.107258934749365,9.69340105906402e-05,269.026658698022,837.488320882545,0.004,0.996666666666667,0.994888888888889,"RF","SVM"
"hut",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00555555555555556,0.994444444444444,0.5,0.699250039173364,0,6.41458550868513,3,52.9917280869283,0.0220760153682103,0.326550667343921,1,0.0343898550819048,0.0496140733835542,0.0812780357765567,0.117259419148034,0.115563699642059,0.000104191216402817,330.064819945561,779.085294928557,0.00555555555555556,0.994888888888889,0.992222222222222,"SVM","SVM"
"sunset",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0168888888888889,0.983111111111111,0.5,0.683222285466469,0,7.44757673621977,3,65.9491903717132,0.0211559015464157,0.475381055148186,1,0.0856706950943753,0.123596686962166,0.0812780357765567,0.117259419148034,0.166620127115406,0.000328603755525532,260.711247676897,246.343599730228,0.0168888888888889,0.976222222222222,0.964222222222222,"RF","RF"
"display",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00711111111111111,0.992888888888889,0.5,0.697050151409672,0,6.61354037775719,3,55.045527760015,0.0217380425799497,0.384341010660404,1,0.0422580107329775,0.0609654225222993,0.0812780357765567,0.117259419148034,0.123387770968241,0.000148275541292855,284.996502892644,547.155380637098,0.00711111111111111,0.986222222222222,0.981111111111111,"SVM","RF"
"plants",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0286666666666667,0.971333333333333,0.5,0.666565992398519,0,8.44209521550916,3,83.9553542118699,0.021382884046244,0.568522259364285,1,0.130076375356145,0.187660541663122,0.0812780357765567,0.117259419148034,0.210900876140997,0.000453534991704907,286.805599865996,178.210065955485,0.0286666666666667,0.974666666666667,0.93,"RF","SVM"
"pool",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0171111111111111,0.982888888888889,0.5,0.682908015785941,0,7.58845480422317,3,68.0405599519684,0.0232771596772756,0.599197052450778,1,0.0865723401818901,0.124897485858565,0.0812780357765567,0.117259419148034,0.167503318897098,0.000347057061349194,249.446992507047,233.192139645815,0.0171111111111111,0.984444444444444,0.922,"SVM","SVM"
"coral",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0197777777777778,0.980222222222222,0.5,0.679136779619613,0,7.91821705526618,3,72.5107992460781,0.0224866079955741,0.499338017889198,1,0.0971729999652897,0.140191005158227,0.0812780357765567,0.117259419148034,0.178182255821632,0.000268779920213717,361.533703440435,301.39623448035,0.0197777777777778,0.983555555555556,0.969777777777778,"SVM","SVM"
"anemone",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00288888888888889,0.997111111111111,0.5,0.703021275339692,0,5.78163719026299,3,48.4501787818923,0.0205813231864227,0.373438211102644,1,0.0197757082781358,0.0285303162629333,0.0812780357765567,0.117259419148034,0.100964021995929,8.97220587632704e-05,220.410772453556,904.886878844443,0.00288888888888889,0.996444444444444,0.996666666666667,"SVM","SVM"
"fish",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.006,0.994,0.5,0.698621499812309,0,6.52430050856027,3,54.0688935183907,0.0216422809701199,0.372122720937351,1,0.0366779387501346,0.0529150803448483,0.0812780357765567,0.117259419148034,0.117836031000783,0.00011994352590801,305.793401290075,676.635872059426,0.006,0.993777777777778,0.981777777777778,"SVM","SVM"
"ocean",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0213333333333333,0.978666666666667,0.5,0.676936891855922,0,7.9803650630521,3,73.6568643054796,0.0224999114500981,0.494287723240604,1,0.103183811118502,0.148862772600686,0.0812780357765567,0.117259419148034,0.184185630525552,0.00027621636950651,373.561535483399,293.254956437841,0.0213333333333333,0.982666666666667,0.968222222222222,"SVM","SVM"
"face",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00422222222222222,0.995777777777778,0.5,0.701135657256528,0,6.03839179800125,3,50.2004333076012,0.019516859190381,0.360544428801194,1,0.0272978472337737,0.0393824688311098,0.0812780357765567,0.117259419148034,0.10846880023646,0.000107082773870365,254.92286244677,758.020642059124,0.00422222222222222,0.994444444444444,0.983111111111111,"RF","SVM"
