"","Cls","Atr","Num","Nom","Spl","Dim","NumRate","NomRate","SymMin","SymMax","SymMean","SymSd","SymSum","ClMin","ClMax","ClMean","ClSd","Sks","SksP","Kts","KtsP","AbsC","CanC","Fnd","ClEnt","NClEnt","AtrEnt","NAtrEnt","JEnt","MutInf","EAttr","NoiSig","Nb","Lda","Nn","auc","accuracy","topauc","topaccuracy"
"TAG_2005",2,1836,1836,0,4880,0.376229508196721,1,0,2,2,2,0,2,0.00799180327868852,0.992008196721311,0.5,0.695804664602008,5.80885869108357,5.80885869108357,41.2006437982861,41.2006437982861,0.0340207902322313,0.612752116554879,1,0.0465549094830298,0.0671645370402016,0.127292210154559,0.0299617165378199,0.0465549094830301,0.000132147011809524,352.296346663772,962.262115514479,0.00799180327868852,NA,0.989344262295082,"RF","BASELINE","RF","SVM"
"TAG_2006",2,1836,1836,0,4880,0.376229508196721,1,0,2,2,2,0,2,0.0174180327868852,0.982581967213115,0.5,0.682473962989475,6.66932056431213,6.66932056431213,52.5537463508617,52.5537463508617,0.0322673469888881,0.64574199461262,1,0.0878128244641445,0.126687126380874,0.127292210154559,0.0299617165378199,0.0878128244641488,0.000231110083964745,379.961025316144,549.786049534635,0.0174180327868852,NA,0.96905737704918,"RF","KNN_1","RF","SVM"
"TAG_2007",2,1836,1836,0,4880,0.376229508196721,1,0,2,2,2,0,2,0.0104508196721311,0.989549180327869,0.5,0.692327090268304,6.08819906995772,6.08819906995772,44.4147773959374,44.4147773959374,0.0335451545675808,0.633123109615625,1,0.0580629895536937,0.0837671870883016,0.127292210154559,0.0299617165378199,0.0580629895536912,0.000160267034000956,362.289037890022,793.250738762659,0.0104508196721311,NA,0.985450819672131,"RF","KNN_1","RF","SVM"
"TAG_agdetection",2,1836,1836,0,4880,0.376229508196721,1,0,2,2,2,0,2,0.0145491803278689,0.985450819672131,0.5,0.686531133045464,6.17174699129331,6.17174699129331,46.8158766764704,46.8158766764704,0.0295284698543996,0.778074570839769,1,0.0759890665983782,0.109629049543261,0.127292210154559,0.0299617165378199,0.0759890665983798,0.000510267921382284,148.919936790321,248.461517803692,0.0145491803278689,NA,0.984631147540984,"RF","SVM","RF","SVM"
"TAG_algorithms",2,1836,1836,0,4880,0.376229508196721,1,0,2,2,2,0,2,0.00676229508196721,0.993237704918033,0.5,0.697543451768861,5.57820225253802,5.57820225253802,39.161010748643,39.161010748643,0.0381777524100486,0.751564067749264,1,0.0405264624392156,0.0584673263858293,0.127292210154559,0.0299617165378199,0.040526462439217,0.000156402087472474,259.117145391989,812.877948892223,0.00676229508196721,NA,0.993237704918033,"SVM","SVM","SVM","SVM"
"TAG_amperometry",2,1836,1836,0,4880,0.376229508196721,1,0,2,2,2,0,2,0.0137295081967213,0.986270491803279,0.5,0.687690324490032,6.09950658660742,6.09950658660742,45.9175623698097,45.9175623698097,0.0302011262892369,0.866963634767742,1,0.0725098094096808,0.10460954245115,0.127292210154559,0.0299617165378199,0.0725098094096802,0.000528094281153252,137.304666983581,240.040690455081,0.0137295081967213,NA,0.988729508196721,"RF","SVM","RF","SVM"
"TAG_analysis",2,1836,1836,0,4880,0.376229508196721,1,0,2,2,2,0,2,0.0260245901639344,0.973975409836066,0.5,0.67030245282151,7.09096580974061,7.09096580974061,59.3369764366994,59.3369764366994,0.0331553567967444,0.65204874044627,1,0.120639245214686,0.174045640807816,0.127292210154559,0.0299617165378199,0.120639245214684,0.000200531998546326,601.595985125621,633.772560375959,0.0260245901639344,NA,0.958811475409836,"RF","KNN_1","RF","SVM"
"TAG_and",2,1836,1836,0,4880,0.376229508196721,1,0,2,2,2,0,2,0.0122950819672131,0.987704918032787,0.5,0.689718909518026,6.29046181073209,6.29046181073209,46.8351622872264,46.8351622872264,0.0335783711934431,0.632613674252972,1,0.0662997915339734,0.0956503804580354,0.127292210154559,0.0299617165378199,0.0662997915339752,0.000165840414243276,399.780667676796,766.558443069436,0.0122950819672131,NA,0.969262295081967,"SVM","KNN_3","SVM","SVM"
"TAG_annotation",2,1836,1836,0,4880,0.376229508196721,1,0,2,2,2,0,2,0.00737704918032787,0.992622950819672,0.5,0.696674058185434,5.71965160779648,5.71965160779648,40.4260529397031,40.4260529397031,0.0329926022437377,0.76623929742635,1,0.043566520810236,0.0628532035217134,0.127292210154559,0.0299617165378199,0.043566520810236,0.000186517971067255,233.578140277575,681.466195756868,0.00737704918032787,NA,0.986680327868853,"SVM","SVM","SVM","SVM"
"TAG_antibody",2,1836,1836,0,4880,0.376229508196721,1,0,2,2,2,0,2,0.0184426229508197,0.98155737704918,0.5,0.681024973683765,6.32525458624267,6.32525458624267,49.294909763427,49.294909763427,0.0319302897849702,0.836760845304461,1,0.0919145711075444,0.13260469592229,0.127292210154559,0.0299617165378199,0.09191457110754,0.000572042395490056,160.677900505614,221.522336033347,0.0184426229508197,NA,0.983401639344262,"RF","SVM","RF","SVM"
