"Cls","Atr","Num","Nom","Spl","Dim","NumRate","NomRate","SymMin","SymMax","SymMean","SymSd","SymSum","ClMin","ClMax","ClMean","ClSd","Sks","SksP","Kts","KtsP","AbsC","CanC","Fnd","ClEnt","NClEnt","AtrEnt","NAtrEnt","JEnt","MutInf","EAttr","NoiSig","Nb","Lda","Nn","methods","accuracy"
2,120,120,0,30993,0.00387184202884522,1,0,2,2,2,0,2,0.00987319717355532,0.990126802826445,0.5,0.693143971839722,0.928558389283634,0.928558389283634,4.76287922427369,4.76287922427369,0.565362442649814,0.25471704321596,1,0.0554180446820141,0.0799513382385047,2.63178614208032,0.509001893170138,0.0554180446820141,0.00333263987322195,16.6288728426083,788.700130286188,0.859387603652438,0.979188849094957,0.986513083599523,"RF","NB"
2,120,120,0,30993,0.00387184202884522,1,0,2,2,2,0,2,0.0020972477656245,0.997902752234376,0.5,0.704140824952745,1.12913054322502,1.12913054322502,5.61128352590805,5.61128352590805,0.560096489883224,0.119268340165944,1,0.0150290453183981,0.0216823291501484,2.63178614208032,0.509001893170138,0.0150290453183981,0.000668214496968811,22.4913487908054,3937.53493753692,0.558255089859,0.997805956183654,0.996741199625722,"SVM","KNN_1"
2,120,120,0,30993,0.00387184202884522,1,0,2,2,2,0,2,0.0509147226793147,0.949085277320685,0.5,0.635102489848996,0.98364465479382,0.983644654793821,6.22948296951315,6.22948296951315,0.523722508641713,0.487591972885472,1,0.201199831325722,0.290269998881315,2.63178614208032,0.509001893170138,0.201199831325723,0.0167040535756551,12.0449704267565,156.553741680759,0.596973510147453,0.964669441486787,0.976672151776207,"RF","KNN_1"
2,120,120,0,30993,0.00387184202884522,1,0,2,2,2,0,2,0.00996999322427645,0.990030006775724,0.5,0.693007081552008,0.977071647348227,0.977071647348227,5.06222438302954,5.06222438302954,0.543367415775557,0.211980971078845,1,0.0558636041039087,0.0805941446068934,2.63178614208032,0.509001893170138,0.0558636041039087,0.00248862089410643,22.4476151575377,1056.5279458245,0.817055464137063,0.983351079275966,0.991094763333656,"RF","KNN_1"
2,120,120,0,30993,0.00387184202884522,1,0,2,2,2,0,2,0.00622721259639273,0.993772787403607,0.5,0.698300172676948,0.964685932765774,0.964685932765774,5.117524203809,5.117524203809,0.53994608846009,0.15805399536076,1,0.0378347152584659,0.0545839560768348,2.63178614208032,0.509001893170138,0.0378347152584659,0.000786500919944877,48.1051125294521,3345.19588526962,0.458813280418159,0.992966153647598,0.99061078308005,"SVM","KNN_1"
2,120,120,0,30993,0.00387184202884522,1,0,2,2,2,0,2,0.00687251960120027,0.9931274803988,0.5,0.697387570758855,0.997405090759774,0.997405090759774,5.6067663752214,5.6067663752214,0.500555606946032,0.266876443096158,1,0.0410755399488565,0.0592594777860518,2.63178614208032,0.509001893170138,0.0410755399488565,0.00173066114039604,23.7340164345846,1519.68251875007,0.51114767850805,0.992611234794954,0.992675765495434,"RF","SVM"
2,120,120,0,30993,0.00387184202884522,1,0,2,2,2,0,2,0.000774368405769045,0.999225631594231,0.5,0.706011658884836,0.761115807064341,0.761115807064341,4.2587834264533,4.2587834264533,0.559003730659796,0.0973162897271177,1,0.00632122778974775,0.00911960398459859,2.63178614208032,0.509001893170138,0.00632122778974775,0.000413434326537968,15.2895572137918,6364.66915988439,0.808763269125286,0.995095666763463,0.998838447391346,"SVM","NB"
2,120,120,0,30993,0.00387184202884522,1,0,2,2,2,0,2,0.00203271706514374,0.997967282934856,0.5,0.704232085144554,0.826468768479872,0.826468768479872,4.45229151956907,4.45229151956907,0.560297244982563,0.11053445092264,1,0.0146302064100237,0.0211069262349231,2.63178614208032,0.509001893170138,0.0146302064100237,0.000650211081042203,22.5007029818276,4046.58734326999,0.597263898299616,0.995902300519472,0.998160875036298,"SVM","KNN_1"
2,120,120,0,30993,0.00387184202884522,1,0,2,2,2,0,2,0.0018068596134611,0.998193140386539,0.5,0.704551495815887,0.823021500101487,0.823021500101487,4.39528272640784,4.39528272640784,0.544801003400137,0.186051489378892,1,0.0132176496381806,0.019069037585211,2.63178614208032,0.509001893170138,0.0132176496381806,0.000856501617330404,15.4321362280415,3071.71590482599,0.775175039525054,0.994773013261059,0.998902978091827,"RF","KNN_1"
2,120,120,0,30993,0.00387184202884522,1,0,2,2,2,0,2,0.0078082147581712,0.992191785241829,0.5,0.69606429797762,0.944161466871226,0.944161466871226,4.97766484967624,4.97766484967624,0.557147367834189,0.231210323844897,1,0.0456676293761333,0.0658844624301027,2.63178614208032,0.509001893170138,0.0456676293761333,0.00276530897048075,16.5144762714142,950.715041673184,0.834930468170232,0.980737585906495,0.991191559384377,"RF","KNN_1"
2,120,120,0,30993,0.00387184202884522,1,0,2,2,2,0,2,0.0685961346110412,0.931403865388959,0.5,0.610097197293243,1.01726017077413,1.01726017077413,5.46068611805283,5.46068611805283,0.545085605968531,0.278646081865273,1,0.2499923517437,0.360662726120805,2.63178614208032,0.509001893170138,0.2499923517437,0.00384005603850686,65.1012248875684,684.350972925813,0.643532410544316,0.929306617623334,0.918142806440164,"RF","KNN_1"
2,120,120,0,30993,0.00387184202884522,1,0,2,2,2,0,2,0.00425902623172975,0.99574097376827,0.5,0.701083608527133,1.26947446234403,1.26947446234403,7.15600576267263,7.15600576267263,0.536718643325466,0.0934346499039779,1,0.0274987528981043,0.0396723144367261,2.63178614208032,0.509001893170138,0.0274987528981043,0.000503749429374745,54.588156918085,5223.39528189024,0.884812699641855,0.995515116316588,0.992837092246636,"RF","KNN_1"
