"Cls","Atr","Num","Nom","Spl","Dim","NumRate","NomRate","SymMin","SymMax","SymMean","SymSd","SymSum","ClMin","ClMax","ClMean","ClSd","Sks","SksP","Kts","KtsP","AbsC","CanC","Fnd","ClEnt","NClEnt","AtrEnt","NAtrEnt","JEnt","MutInf","EAttr","NoiSig","Nb","Lda","Nn","auc","accuracy"
2,103,103,0,1500,0.0686666666666667,1,0,2,2,2,0,2,0.317333333333333,0.682666666666667,0.5,0.258329677393485,0.554561076899,0.554561076899,4.39127961215421,4.39127961215421,0.111159949564633,0.5816198154287,1,0.624843035391637,0.901457948493521,1.70916183844604,0.466530115646252,0.624843035391635,0.00953256087307961,65.5482869410487,178.297238297506,0.75,0.494666666666667,0.722666666666667,"SVM","SVM"
2,103,103,0,1500,0.0686666666666667,1,0,2,2,2,0,2,0.43,0.57,0.5,0.0989949493661166,0.567732871877182,0.567732871877182,4.42554359112764,4.42554359112764,0.111666068931711,0.389871831616362,1,0.683314913574166,0.98581503717892,1.70916183844604,0.466530115646252,0.683314913574165,0.00803423447633649,85.0504071777787,211.734871440471,0.64,0.511333333333333,0.63,"RF","RF"
2,103,103,0,1500,0.0686666666666667,1,0,2,2,2,0,2,0.398666666666667,0.601333333333333,0.5,0.143306974320474,0.581934843709229,0.581934843709228,4.52579337607799,4.52579337607799,0.110870950550373,0.562270398845659,1,0.672467341784325,0.97016529915203,1.70916183844604,0.466530115646252,0.672467341784326,0.0120896055144531,55.6235967319521,140.374492029764,0.718,0.484,0.674666666666667,"RF","SVM"
2,103,103,0,1500,0.0686666666666667,1,0,2,2,2,0,2,0.354666666666667,0.645333333333333,0.5,0.20553237106489,0.584994915892257,0.584994915892257,4.47140088380742,4.47140088380742,0.119856720861677,0.562033145422221,1,0.650287722547981,0.93816687247095,1.70916183844604,0.466530115646252,0.65028772254798,0.0143287507809163,45.3834205431268,118.28198519039,0.727333333333333,0.494666666666667,0.705333333333333,"RF","SVM"
2,103,103,0,1500,0.0686666666666667,1,0,2,2,2,0,2,0.294,0.706,0.5,0.291327993848858,0.59125806418965,0.59125806418965,4.53309180867207,4.53309180867207,0.125226792393311,0.494123799726553,1,0.605694469714336,0.873832407750742,1.70916183844604,0.466530115646252,0.605694469714336,0.012154272490948,49.8338728348763,139.622307070946,0.733333333333333,0.486666666666667,0.720666666666667,"SVM","SVM"
2,103,103,0,1500,0.0686666666666667,1,0,2,2,2,0,2,0.252,0.748,0.5,0.350724963468528,0.588112372188362,0.588112372188362,4.56941439798339,4.56941439798339,0.112142929382045,0.454890874060128,1,0.56452172140435,0.814432687944156,1.70916183844604,0.466530115646252,0.564521721404349,0.00848196994731925,66.5554965309407,200.505292881428,0.718,0.516,0.716666666666667,"RF","NB"
2,103,103,0,1500,0.0686666666666667,1,0,2,2,2,0,2,0.174,0.826,0.5,0.461033621333629,0.594813510934522,0.594813510934522,4.57424067392879,4.57424067392879,0.110839308125698,0.404073900116797,1,0.462172373990482,0.666773791991948,1.70916183844604,0.466530115646252,0.462172373990483,0.00723577232610261,63.8732609542209,235.210007918621,0.72,0.498,0.79,"RF","NB"
2,103,103,0,1500,0.0686666666666667,1,0,2,2,2,0,2,0.192666666666667,0.807333333333333,0.5,0.434634968169331,0.597823044131093,0.597823044131093,4.63659460184333,4.63659460184333,0.110601170572362,0.353228355669231,1,0.49006663755211,0.707016707701559,1.70916183844604,0.466530115646252,0.490066637552111,0.00711725566405671,68.8561238606371,239.143380977247,0.680666666666667,0.507333333333333,0.751333333333333,"RF","NB"
2,103,103,0,1500,0.0686666666666667,1,0,2,2,2,0,2,0.0653333333333333,0.934666666666667,0.5,0.614711495111505,0.583310252515045,0.583310252515045,4.33799938067948,4.33799938067948,0.116255391629171,0.292755774357865,1,0.241396908638798,0.34826212297912,1.70916183844604,0.466530115646252,0.241396908638798,0.00378157561934333,63.8350076629478,450.970821290316,0.792,0.495333333333333,0.875333333333333,"NB","NB"
2,103,103,0,1500,0.0686666666666667,1,0,2,2,2,0,2,0.107333333333333,0.892666666666667,0.5,0.555314525491835,0.552476351318233,0.552476351318233,4.20101296009854,4.20101296009854,0.113816578493131,0.367859384097213,1,0.340903448661649,0.491819714806107,1.70916183844604,0.466530115646252,0.340903448661649,0.00507156802321424,67.2185499832047,336.008560394466,0.757333333333333,0.504666666666667,0.834,"RF","NB"
2,103,103,0,1500,0.0686666666666667,1,0,2,2,2,0,2,0.132,0.868,0.5,0.520430590953299,0.546283462746681,0.546283462746681,4.24598599828768,4.24598599828768,0.111573220484288,0.348663318381206,1,0.390171016875552,0.562897791144963,1.70916183844604,0.466530115646252,0.390171016875553,0.00487325212553926,80.0637863226453,349.723047857268,0.741333333333333,0.494,0.798,"RF","NB"
2,103,103,0,1500,0.0686666666666667,1,0,2,2,2,0,2,0.248,0.752,0.5,0.35638181771802,0.561489804804755,0.561489804804755,4.39056246799497,4.39056246799497,0.109571329275866,0.372210359172876,1,0.560127234322941,0.808092783224557,1.70916183844604,0.466530115646252,0.560127234322941,0.00541776639164007,103.387114510373,314.473520800634,0.663333333333333,0.456666666666667,0.684,"RF","NB"
2,103,103,0,1500,0.0686666666666667,1,0,2,2,2,0,2,0.256,0.744,0.5,0.345068109219035,0.558937162718623,0.558937162718623,4.40102451725207,4.40102451725207,0.109441003592839,0.369447613364901,1,0.568831323279549,0.820650129197712,1.70916183844604,0.466530115646252,0.568831323279548,0.00545477754486069,104.281305443058,312.333004763202,0.66,0.506,0.68,"RF","NB"
2,103,103,0,1500,0.0686666666666667,1,0,2,2,2,0,2,0.014,0.986,0.5,0.687307791313324,0.594882884752854,0.594882884752854,3.84069829592198,3.84069829592198,0.156461598928544,0.311816295965663,1,0.0736633107293256,0.106273693084661,1.70916183844604,0.466530115646252,0.0736633107293256,0.00289528440411546,25.4425128752872,589.32606123826,0.923333333333333,0.495333333333333,0.975333333333333,"NB","NB"
