"","Cls","Atr","Num","Nom","Spl","Dim","NumRate","NomRate","SymMin","SymMax","SymMean","SymSd","SymSum","ClMin","ClMax","ClMean","ClSd","Sks","SksP","Kts","KtsP","AbsC","CanC","Fnd","ClEnt","NClEnt","AtrEnt","NAtrEnt","JEnt","MutInf","EAttr","NoiSig","Nb","Lda","Nn","Nlbst","NSlbst","Mfreq","LCard","LDen","Mir","Scl","Lfq","IRLbl","LScl","auc","accuracy","topauc","topaccuracy"
"A.A8",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.0160284951024043,0.983971504897596,0.5,0.684439066028297,3.18759811256585,3.18759811256585,12.5243830192491,12.5243830192491,0.425120442780802,0.891521150938962,1,0.0821513233413569,0.118519306787041,0.270881030747285,0.0768160342246261,0.0821513233413553,0.000284532207081784,288.724163018016,951.022386237016,0.0160284951024043,0.997328584149599,0.966162065894924,503,360,113,3.31878895814782,0.08969699886886,19.9571571628533,0.282341239744253,0.0160284951024043,33.3333333333333,0.466107592227654,"RF","KNN_3","RF","SVM"
"C.C9",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.03739982190561,0.96260017809439,0.5,0.654215445817296,3.60288210364932,3.60288210364932,16.3370003394433,16.3370003394433,0.287493710954411,0.990063168924079,1,0.159590718909516,0.230240738742663,0.270881030747285,0.0768160342246261,0.159590718909516,0.000856049314826291,186.42701552994,315.431572405676,0.0783615316117542,1,0.941228851291184,503,360,113,3.31878895814782,0.08969699886886,19.9571571628533,0.282341239744253,0.03739982190561,14.2857142857143,0.466017248072288,"SVM","KNN_1","SVM","NB"
"C.C11",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.01246660730187,0.98753339269813,0.5,0.689476336063463,2.94321309666498,2.94321309666498,11.1692073980534,11.1692073980534,0.345225588628587,0.993546657742237,1,0.0670509275023159,0.0967340405945965,0.270881030747285,0.0768160342246261,0.0670509275023154,0.000567748864364223,118.099624166401,476.114174504996,0.01246660730187,1,0.975957257346394,503,360,113,3.31878895814782,0.08969699886886,19.9571571628533,0.282341239744253,0.01246660730187,42.8571428571429,0.630572375762364,"SVM","BASELINE","SVM","RF"
"C.C5",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.068566340160285,0.931433659839715,0.5,0.610139333009586,3.54718559009995,3.54718559009995,15.7428621062798,15.7428621062798,0.340459290724957,0.964514099836561,1,0.24991462725817,0.360550593390976,0.270881030747285,0.0768160342246261,0.249914627258166,0.000594834510057902,420.141439396048,454.388895847547,0.306322350845948,0.993766696349065,0.915405164737311,503,360,113,3.31878895814782,0.08969699886886,19.9571571628533,0.282341239744253,0.068566340160285,7.79220779220779,0.363260059662808,"SVM","NB","SVM","NB"
"C.C7",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.0525378450578807,0.947462154942119,0.5,0.632807048167836,3.71476714526046,3.71476714526046,17.3101719404466,17.3101719404466,0.365702026650903,0.981898388389673,1,0.205921036692379,0.297081258450809,0.270881030747285,0.0768160342246261,0.205921036692381,0.000703162494307718,292.849858118661,384.232478893765,0.177203918076581,0.998219056099733,0.951024042742654,503,360,113,3.31878895814782,0.08969699886886,19.9571571628533,0.282341239744253,0.0525378450578807,10.1694915254237,0.397277255255931,"RF","DT","RF","RF"
"B.B2",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.465716829919858,0.534283170080142,0.5,0.048483724088481,3.65950639240601,3.65950639240601,17.5044805073443,17.5044805073443,0.345671107332207,0.966991096177718,1,0.690794663700471,0.996606035593229,0.270881030747285,0.0768160342246261,0.690794663700455,0.00418130108970243,165.210456956027,63.7839093468782,0.572573463935886,0.981300089047195,0.682991985752449,503,360,113,3.31878895814782,0.08969699886886,19.9571571628533,0.282341239744253,0.534283170080142,1,0.331865582871376,"SVM","SVM","SVM","SVM"
"B.B3",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.0267141585040071,0.973285841495993,0.5,0.669327255922796,3.54739692452086,3.54739692452086,15.4364613084642,15.4364613084642,0.413706184208698,0.954093568419707,1,0.123127798881968,0.177635864842589,0.270881030747285,0.0768160342246261,0.123127798881967,0.000370707781305591,332.142472025609,729.713096426712,0.0872662511130899,0.997328584149599,0.945681211041852,503,360,113,3.31878895814782,0.08969699886886,19.9571571628533,0.282341239744253,0.0267141585040071,20,0.456650692167291,"RF","NB","RF","NB"
"A.A7",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.0142475512021371,0.985752448797863,0.5,0.68695770104588,3.07916768711862,3.07916768711862,12.0122883106102,12.0122883106102,0.356531360360966,0.926972429117981,1,0.0747143349127102,0.107790000461884,0.270881030747285,0.0768160342246261,0.0747143349127114,0.000934106597327905,79.9848059380345,288.989420396092,0.0142475512021371,0.999109528049866,0.890471950133571,503,360,113,3.31878895814782,0.08969699886886,19.9571571628533,0.282341239744253,0.0142475512021371,37.5,0.52110188910067,"SVM","KNN_1","SVM","SVM"
"A.A4",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.307212822796082,0.692787177203918,0.5,0.272642240653406,5.21711875790817,5.21711875790817,42.6838673441896,42.6838673441896,0.314263280636465,0.985548852133364,1,0.616852401143957,0.889929900090836,0.270881030747285,0.0768160342246261,0.616852401143957,0.00903099324024571,68.3039378653299,28.9946001000345,0.545859305431879,0.994657168299199,0.731967943009795,503,360,113,3.31878895814782,0.08969699886886,19.9571571628533,0.282341239744253,0.307212822796082,1.73913043478261,0.124535152986814,"SVM","SVM","SVM","SVM"
"C.C2",2,1001,1001,0,1123,0.891362422083704,1,0,2,2,2,0,2,0.0739091718610864,0.926090828138914,0.5,0.602583427956835,4.18864799125314,4.18864799125314,22.8621576420835,22.8621576420835,0.262971071715244,0.983276736955927,1,0.263635355212215,0.380345419567663,0.270881030747285,0.0768160342246261,0.263635355212216,0.00144705114272659,182.188001120308,186.19520184814,0.156723063223508,0.998219056099733,0.892252894033838,503,360,113,3.31878895814782,0.08969699886886,19.9571571628533,0.282341239744253,0.0739091718610864,7.2289156626506,0.35570635452184,"SVM","KNN_1","SVM","RF"
